fileName,groupName,attributeName,attributeValue
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Female
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:Prof,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Female
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
Salaries.csv,rank:AsstProf,sex,Male
