fileName,groupName,attributeName,attributeValue
Melanoma.csv,thickness:high,year,1973
Melanoma.csv,thickness:high,year,1968
Melanoma.csv,thickness:high,year,1973
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1973
Melanoma.csv,thickness:high,year,1973
Melanoma.csv,thickness:high,year,1973
Melanoma.csv,thickness:high,year,1973
Melanoma.csv,thickness:high,year,1973
Melanoma.csv,thickness:high,year,1969
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1968
Melanoma.csv,thickness:high,year,1965
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1972
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1965
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1971
Melanoma.csv,thickness:high,year,1970
Melanoma.csv,thickness:high,year,1970
Melanoma.csv,thickness:high,year,1969
Melanoma.csv,thickness:high,year,1969
Melanoma.csv,thickness:high,year,1967
Melanoma.csv,thickness:high,year,1969
Melanoma.csv,thickness:high,year,1966
Melanoma.csv,thickness:high,year,1969
Melanoma.csv,thickness:high,year,1969
Melanoma.csv,thickness:high,year,1969
Melanoma.csv,thickness:high,year,1968
Melanoma.csv,thickness:high,year,1967
Melanoma.csv,thickness:high,year,1968
Melanoma.csv,thickness:high,year,1968
Melanoma.csv,thickness:high,year,1968
Melanoma.csv,thickness:high,year,1968
Melanoma.csv,thickness:high,year,1967
Melanoma.csv,thickness:high,year,1967
Melanoma.csv,thickness:high,year,1967
Melanoma.csv,thickness:high,year,1967
Melanoma.csv,thickness:high,year,1967
Melanoma.csv,thickness:high,year,1966
Melanoma.csv,thickness:high,year,1966
Melanoma.csv,thickness:high,year,1966
Melanoma.csv,thickness:high,year,1965
Melanoma.csv,thickness:high,year,1965
Melanoma.csv,thickness:high,year,1965
Melanoma.csv,thickness:high,year,1964
Melanoma.csv,thickness:high,year,1962
